max_lifespan_h,min_lifespan_h,mean_lifespan_h,max_lifespan_z,min_lifespan_z,mean_lifespan_z,max_resources,min_resources,mean_resources,max_esc_xp,min_esc_xp,mean_esc_xp,max_win_xp,min_win_xp,mean_win_xp,max_love_xp,min_love_xp,mean_love_xp,max_war_xp,min_war_xp,mean_war_xp,max_theft,min_theft,mean_theft,max_zh_kd,min_zh_kd,mean_zh_kd,max_hh_kd,min_hh_kd,mean_hh_kd,max_hz_kd,min_hz_kd,mean_hz_kd,max_z_enc,min_z_enc,mean_z_enc,max_h_enc,min_h_enc,mean_h_enc,days_until_all_zombies,humans,zombies,full_dead
37,37,37.0,10,10,10.0,0.0,0.0,0.0,2,2,2.0,4,4,4.0,4,4,4.0,0,0,0.0,1,1,1.0,4,4,4.0,0,0,0.0,0,0,0.0,8,8,8.0,2,2,2.0,38,0,1,0
14,0,4.8,10,1,2.6,10.0,0.0,3.495159149169922,2,0,0.2,0,0,0.0,11,0,5.0,1,0,0.2,2,0,0.3,0,0,0.0,1,0,0.2,3,0,0.9,4,0,0.5,6,0,2.6,15,0,10,0
37,37,37.0,10,10,10.0,0.0,0.0,0.0,1,1,1.0,3,3,3.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,5,5,5.0,0,0,0.0,38,0,1,0
10,0,2.75,11,1,4.5227272727272725,22.0,0.0,4.886363636363637,2,0,0.1590909090909091,2,0,0.13636363636363635,11,0,1.9318181818181819,3,0,0.25,0,0,0.0,2,0,0.13636363636363635,3,0,0.25,3,0,0.5681818181818182,6,0,0.5909090909090909,7,0,1.25,10,0,44,0
30,30,30.0,10,10,10.0,0.0,0.0,0.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,31,0,1,0
13,0,5.222222222222222,10,1,3.888888888888889,7.0,-0.4814411951228976,1.0215115017361112,1,0,0.1111111111111111,1,0,0.1111111111111111,24,0,8.5,1,0,0.1111111111111111,1,0,0.16666666666666666,1,0,0.1111111111111111,1,0,0.1111111111111111,3,0,0.8333333333333334,2,0,0.4444444444444444,13,0,4.388888888888889,14,0,18,0
10,0,2.7948717948717947,10,1,3.4615384615384617,23.796875,0.0,4.053685897435898,1,0,0.10256410256410256,1,0,0.10256410256410256,11,0,2.8461538461538463,2,0,0.10256410256410256,2,0,0.1794871794871795,1,0,0.10256410256410256,2,0,0.10256410256410256,3,0,0.5384615384615384,3,0,0.6923076923076923,6,0,1.5128205128205128,11,0,39,0
13,0,4.607142857142857,10,1,3.5714285714285716,13.0,-0.022760720923542976,2.7844063895089284,2,0,0.17857142857142858,1,0,0.14285714285714285,24,0,5.678571428571429,1,0,0.03571428571428571,3,0,0.35714285714285715,1,0,0.14285714285714285,1,0,0.03571428571428571,2,0,0.6071428571428571,4,0,0.7857142857142857,14,0,2.9285714285714284,13,0,28,0
30,30,30.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,2,2,2.0,15,15,15.0,0,0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,0,0,0.0,2,2,2.0,9,9,9.0,31,0,1,0
9,0,2.260869565217391,9,1,3.847826086956522,18.5,0.0,4.923913043478261,1,0,0.13043478260869565,2,0,0.10869565217391304,13,0,2.5869565217391304,3,0,0.2608695652173913,3,0,0.2391304347826087,2,0,0.10869565217391304,3,0,0.2608695652173913,3,0,0.5217391304347826,3,0,0.6086956521739131,7,0,1.5434782608695652,10,0,46,0
38,38,38.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,39,0,1,0
18,4,11.133333333333333,10,1,3.7333333333333334,15.447567357681692,-0.20120906829833984,1.7740087462433924,2,0,0.3333333333333333,3,0,0.6,42,2,18.466666666666665,0,0,0.0,3,0,0.4,3,0,0.6,0,0,0.0,2,0,0.4,4,0,1.4,25,1,9.2,19,0,15,0
12,0,2.5,10,1,3.09375,13.0,0.0,3.65185546875,1,0,0.03125,2,0,0.15625,5,0,0.9375,2,0,0.125,2,0,0.09375,2,0,0.15625,2,0,0.125,2,0,0.84375,2,0,0.40625,3,0,0.5625,12,0,32,0
17,0,9.454545454545455,9,1,3.8181818181818183,14.125,0.0,3.570673855868253,1,0,0.2727272727272727,2,0,0.6363636363636364,19,0,7.909090909090909,0,0,0.0,2,0,0.18181818181818182,2,0,0.6363636363636364,0,0,0.0,4,0,0.6363636363636364,3,0,1.2727272727272727,11,0,4.090909090909091,18,0,11,0
15,1,8.538461538461538,10,1,4.076923076923077,15.5,0.0,2.264460637019231,5,0,0.6923076923076923,1,0,0.15384615384615385,18,0,6.230769230769231,2,0,0.15384615384615385,2,0,0.23076923076923078,1,0,0.15384615384615385,2,0,0.15384615384615385,2,0,0.38461538461538464,11,0,1.8461538461538463,10,0,3.3846153846153846,16,0,13,0
19,3,12.25,10,1,5.75,1.8294792512931508,0.0,0.4573698128232877,0,0,0.0,0,0,0.0,32,2,13.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,0,1.0,1,0,0.25,15,1,6.5,20,0,4,0
24,24,24.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,25,0,1,0
17,0,8.0,9,1,2.625,12.5,0.0,4.021472215652466,2,0,0.375,0,0,0.0,20,0,7.75,1,0,0.125,0,0,0.0,0,0,0.0,1,0,0.125,3,0,0.875,4,0,1.0,10,0,3.875,18,0,8,0
43,43,43.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,44,0,1,0
20,12,16.0,10,1,5.5,3.3125,0.0,1.65625,1,0,0.5,2,1,1.5,8,4,6.0,0,0,0.0,1,0,0.5,2,1,1.5,0,0,0.0,0,0,0.0,4,2,3.0,4,2,3.0,21,0,2,0
43,43,43.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,2,2,2.0,3,3,3.0,2,2,2.0,0,0,0.0,2,2,2.0,2,2,2.0,0,0,0.0,2,2,2.0,3,3,3.0,44,0,1,0
16,0,11.5,10,2,6.5,4.5,0.0,1.0,2,0,1.0,1,0,0.5,10,0,4.666666666666667,1,0,0.16666666666666666,1,0,0.16666666666666666,1,0,0.5,1,0,0.16666666666666666,3,0,0.5,5,0,2.5,6,0,2.5,17,0,6,0
8,0,2.2884615384615383,13,2,6.134615384615385,17.0,0.0,3.9326923076923075,1,0,0.057692307692307696,1,0,0.057692307692307696,15,0,2.2884615384615383,2,0,0.1346153846153846,3,0,0.1346153846153846,1,0,0.057692307692307696,2,0,0.1346153846153846,2,0,0.5961538461538461,3,0,0.3269230769230769,6,0,1.25,8,0,52,0
11,0,3.8285714285714287,11,1,4.142857142857143,15.5,0.0,4.128571428571429,3,0,0.2571428571428571,4,0,0.11428571428571428,15,0,2.5142857142857142,2,0,0.14285714285714285,2,0,0.08571428571428572,4,0,0.11428571428571428,2,0,0.14285714285714285,3,0,0.7428571428571429,7,0,0.8857142857142857,9,0,1.3714285714285714,12,0,35,0
74,74,74.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,5,5,5.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,5.0,0,0,0.0,0,0,0.0,5,5,5.0,0,0,0.0,75,0,1,0
6,0,2.0384615384615383,12,3,6.653846153846154,13.75,-0.125,4.420673076923077,1,0,0.11538461538461539,2,0,0.057692307692307696,13,0,2.1153846153846154,2,0,0.17307692307692307,1,0,0.1346153846153846,2,0,0.057692307692307696,2,0,0.17307692307692307,3,0,0.5192307692307693,3,0,0.4807692307692308,7,0,1.2307692307692308,7,0,52,0
